6213	6220
124064	6163
6213	134128
28542	124064
6220	6224
6220	134128
44514	210871
6215	6224
887	6151
6213	6224
218410	134128
6214	6224
6213	124064
273152	210871
210872	210871
4584	124064
210872	35
6224	6163
4584	6151
114	6220
28412	6220
210871	198653
210871	887
124064	6224
28350	6220
114	28350
887	134128
6213	6151
82920	35
6214	124064
35	210871
35061	210871
6213	218410
198653	887
887	6213
210871	35
124064	6220
35	887
6220	6163
35	198653
114	124064
6213	28350
6163	134128
6213	6163
4584	6213
6151	6213
