4584	28287
56708	56709
135130	416455
6741	83725
35	12576
56115	127033
83725	62718
12576	127033
56115	135130
12576	62718
28290	28287
83725	56115
56115	56119
210872	35
887	12576
12576	83725
210871	887
56709	28287
35	56119
56119	127033
28290	56709
12576	56112
12576	28290
28287	56709
114	28287
35	135130
62718	127033
12576	416455
82920	35
56112	127033
56112	56115
56112	56119
83725	56112
56112	83725
83725	56119
198653	887
210871	35
887	6213
12576	56709
127033	416455
6213	12576
35	887
56709	416455
56708	28287
35	28290
12576	56119
56115	62718
12576	135130
83725	12576
4584	6213
6151	6213
