116790	345340
124064	6163
6220	6224
6213	6220
18777	116790
28542	124064
6215	6224
887	6151
36802	130
6213	6224
18777	173863
6214	6224
130	39403
6213	124064
6224	345340
73146	116790
117	6214
4584	124064
6224	6163
4584	6151
114	6220
4335	116790
28412	6220
887	6215
114	130
124064	6224
28350	6220
18777	73146
4584	6214
173863	116790
35778	73146
18774	73146
6213	6215
6213	6151
117	39403
39403	130
6214	124064
128	39403
887	6213
6214	6215
6214	345340
124064	6220
6151	6214
6220	6163
18777	345340
6163	130
130	345340
23738	73146
6213	6214
114	39403
114	124064
189566	36802
6213	6163
4584	6213
6151	6213
