1999	39126
39130	39131
70520	27631
10169	39126
17798	39131
39165	39126
6184	27631
39131	6334
10177	15429
20528	1107067
6214	27631
39127	3231
10169	3231
10169	6334
17798	3231
3231	6334
10169	17798
70520	36167
92589	39165
6767	6334
10169	1107067
28412	27631
31483	39165
10169	39131
4584	36167
39131	3231
3229	27631
3218	6767
15429	10177
36162	20528
10177	10169
288	36167
27631	20528
36167	20528
39126	1107067
6334	1107067
158614	10169
31483	39126
6334	3231
15429	10169
3231	39126
31479	39165
10169	158614
162664	39165
22563	6767
3231	1107067
