6935	18615
2653	65650
12210	12182
2653	4660
19231	18619
8224	23738
12182	4660
18619	18615
65650	5038
38722	65650
23738	65650
10177	67415
10177	4804
10798	18619
4660	5038
27895	23738
12350	12210
12350	12195
18619	4660
9515	4804
67415	38722
51180	12195
4660	18615
27627	18619
23738	11342
12182	65650
12350	67415
12210	4804
4804	12210
10177	12210
12350	4804
18615	4660
12195	38722
4804	12182
28649	12182
38722	5038
8224	11342
1272	18615
79809	11342
67415	12195
12210	67415
2440	18615
12182	5038
11342	65650
